key,title,reason
rahman_multi-cloud_2025,Multi-{Cloud,no_IaC_term;no_quality_term
compagnucci_safari_2025,{SAFARI,no_IaC_term;no_quality_term
stencel_kubernetes_2025,Kubernetes on {Cloud,no_quality_term
wienholt_designing_2025,Designing {Applications,no_IaC_term;no_quality_term
patel_automating_2025,Automating {IAM,no_IaC_term;no_quality_term
wienholt_infrastructure_2025,"Infrastructure, {DevOps",no_IaC_term;no_quality_term
okumoto_star_2024,{STAR,no_IaC_term;no_quality_term
torres-charles_xook-sec_2025,Xook-{Sec,no_IaC_term;no_quality_term
khan_identifying_2025,Identifying and prioritizing key success factors for scaling {DevOps,no_IaC_term;no_quality_term
aguilar_experiments_2024,Experiments as {Code,no_IaC_term;no_quality_term
khalefa_managing_2025,Managing {HPC,no_IaC_term;no_quality_term
kingsley_well-architected_2023,Well-{Architected,no_IaC_term;no_quality_term
hoeppner_new_2025,New {Capabilities,no_IaC_term;no_quality_term
benala_transforming_2025,Transforming {Software,no_IaC_term;no_quality_term
cankar_auto-scaling_2020,Auto-scaling {Using,no_IaC_term;no_quality_term
choi_cisco_2024,Cisco {IOS,no_IaC_term;no_quality_term
karnaukh_research_2025,Research and {Practical,no_IaC_term;no_quality_term
krause_scalable_2023,A {Scalable,no_IaC_term;no_quality_term
hajizadeh_motivation_2025,Motivation and {Chapter,no_IaC_term;no_quality_term
kica_accelerating_2025,Accelerating {Cloud,no_IaC_term;no_quality_term
mens_introduction_2023,An {Introduction,no_IaC_term;no_quality_term
barac_deploying_2023,Deploying {Azure,no_IaC_term;no_quality_term
ahmed_scalability_2024,Scalability and {Autoscaling,no_quality_term
vorel_what_2025,What “{Good,no_IaC_term;no_quality_term
kaiser_containers_2024,Containers,no_quality_term
sousa_pattern_2025,A {Pattern,no_IaC_term;no_quality_term
vijayaraghavan_policy_2025,Policy as {Code,no_IaC_term;no_quality_term
carducci_distributed_2025,The {Distributed,no_IaC_term;no_quality_term
gu_-esa_2024,A-{ESA,no_IaC_term;no_quality_term
scott_docker_2023,Docker {Hub,no_quality_term
andrade_study_2025,A {Study,no_IaC_term;no_quality_term
khanna_case_2024,Case {Studies,no_IaC_term;no_quality_term
scott_introducing_2023,Introducing {Docker,no_quality_term
syed_key_2024,Key {Technologies,no_IaC_term;no_quality_term
mallesh_intelligent_2025,Intelligent {Identity,no_IaC_term;no_quality_term
rahman_scaling_2025,Scaling {Governance,no_IaC_term;no_quality_term
beloki_azure_2025,Azure {Well,no_IaC_term;no_quality_term
bankoff_quality_2024,Quality 4.0 in {Software,no_IaC_term
ghane_cloud-native_2025,Cloud-{Native,no_IaC_term;no_quality_term
battista_innovating_2025,Innovating {Cloud,no_IaC_term;no_quality_term
revar_rag-enhanced_2025,{RAG,no_IaC_term;no_quality_term
hartmannsgruber_improving_2024,Improving {3D,no_IaC_term;no_quality_term
almog_serverless_2023,Serverless {Debugging,no_IaC_term
berton_ansible_2023,Ansible for {Enterprise,no_quality_term
cagle_ai_2024,{AI,no_IaC_term;no_quality_term
bartlett_basic_2022,Basic {Kubernetes,no_quality_term
baresi_sodalite_2022,The {SODALITE,no_IaC_term;no_quality_term
prakash_introduction_2025,Introduction to {AWS,no_IaC_term;no_quality_term
feil_stage_2024,Stage 2—{Keeping,no_IaC_term;no_quality_term
gu_-esa_2024-1,A-{ESA,no_IaC_term;no_quality_term
moudoud_securing_2025,Securing {O,no_IaC_term;no_quality_term
bedoya_enhancing_2024,Enhancing {DevSecOps,no_IaC_term;no_quality_term
acevedo_toward_2025,Toward the {Implementation,no_IaC_term;no_quality_term
gavandi_high_2025,High {Availability,no_IaC_term;no_quality_term
kim_domain_2024,Domain knowledge free cloud-{IDS,no_IaC_term;no_quality_term
revar_leveraging_2025,Leveraging {Cloud,no_IaC_term;no_quality_term
kumar_performance_2025,"Performance, portability, productivity, and security in {HPC",no_IaC_term
goel_parameterized_2023,Parameterized {Clustering,no_IaC_term;no_quality_term
clark_future_2025,The {Future,no_IaC_term;no_quality_term
dileo_workweek_2025,The {Workweek,no_IaC_term;no_quality_term
kapitsaki_generative_2024,Generative {AI,no_IaC_term;no_quality_term
kumara_quality_2022,Quality {Assurance,no_IaC_term
sabharwal_introduction_2021,Introduction to {Agile,no_IaC_term;no_quality_term
langerman_operationalising_2025,Operationalising {Information,no_IaC_term;no_quality_term
li_information_2024,Information {System,no_IaC_term;no_quality_term
hamza_unveiling_2025,Unveiling the {Skills,no_IaC_term;no_quality_term
patil_cloud_2025,Cloud {Computing,no_IaC_term;no_quality_term
minna_analyzing_2025,Analyzing and mitigating (with {LLMs,no_IaC_term
myat_towards_2025,Towards {Infrastructure,no_IaC_term;no_quality_term
patel_introduction_2025,Introduction to {Identity,no_IaC_term;no_quality_term
horng-jyh_virtual_2023,Virtual {Lab,no_IaC_term;no_quality_term
syed_devsecops_2024,{DevSecOps,no_IaC_term;no_quality_term
wang_introduction_2024,Introduction to {IaC,no_quality_term
caballer_infrastructure_2023,Infrastructure {Manager,no_IaC_term;no_quality_term
vorel_case_2025,The {Case,no_IaC_term;no_quality_term
mukhopadhyay_cost_2024,Cost and energy aware migration through dependency analysis of {VM,no_IaC_term
galvan-cruz_open-source_2024,Open-{Source,no_IaC_term;no_quality_term
ifrah_introduction_2024,Introduction to {Azure,no_IaC_term;no_quality_term
mishra_provisioning_2022,Provisioning {Resources,no_IaC_term;no_quality_term
josyula_establishing_2025,Establishing {Observability,no_IaC_term;no_quality_term
slama_holistic_2023,Holistic {AIoT,no_IaC_term;no_quality_term
el_ghachi_web_2025,Web {Application,no_IaC_term;no_quality_term
john_predictive_2024,Predictive digital twin driven trust model for cloud service providers with {Fuzzy,no_IaC_term;no_quality_term
katal_evolution_2025,Evolution from {Monolithic,no_IaC_term;no_quality_term
paintsil_eks_2025,{EKS,no_IaC_term;no_quality_term
bhatia_basics_2023,The {Basics,no_IaC_term;no_quality_term
rael_greenfield_2025,Greenfield: {Implementing,no_IaC_term;no_quality_term
vorel_fragmented_2025,Fragmented {Software,no_IaC_term;no_quality_term
edwards_network_2024,Network {Infrastructure,no_IaC_term;no_quality_term
modi_terraform_2021,Terraform {Unit,no_quality_term
telang_cloud-native_2022,Cloud-{Native,no_IaC_term;no_quality_term
rajput_deciding_2023,Deciding on {Digital,no_IaC_term;no_quality_term
vorel_future_2025,The {Future,no_IaC_term;no_quality_term
juner_praxisbasierte_2022,Praxisbasierte {Capability,no_IaC_term;no_quality_term
sabharwal_factors_2021,Factors {Leading,no_IaC_term;no_quality_term
wendt_operationalizing_2025,Operationalizing {AI,no_IaC_term;no_quality_term
stencel_configuring_2025,Configuring {Stateful,no_IaC_term;no_quality_term
okpara_role_2023,The role of informal communication in building shared understanding of non-functional requirements in remote continuous software engineering,no_IaC_term;no_quality_term
frati_cybersecurity_2024,Cybersecurity training and healthcare: the {AERAS,no_IaC_term
smart_devops_2022,{DevOps,no_IaC_term;no_quality_term
gajewski_case_2024,Case {Study,no_IaC_term;no_quality_term
dupont_product_2023,Product {Incremental,no_IaC_term;no_quality_term
caterino_remanufacturing_2025,Remanufacturing as a {Service,no_IaC_term;no_quality_term
tasic_reinforcing_2024,Reinforcing cybersecurity with {Bloom,no_IaC_term
dalla_palma_devops_2021,{DevOps,no_IaC_term;no_quality_term
kingsley_cloud_2023,Cloud {Industry,no_IaC_term;no_quality_term
smart_architecture_2022,Architecture,no_IaC_term;no_quality_term
kanumuri_automation_2024,Automation,no_IaC_term;no_quality_term
nastic_self-provisioning_2024,Self-{Provisioning,no_IaC_term;no_quality_term
cauli_actions_2022,Actions over {Core,no_IaC_term;no_quality_term
rahman_modern_2025,Modern {Governance,no_IaC_term;no_quality_term
wang_key_2024,Key {Concepts,no_IaC_term;no_quality_term
choi_cisco_2023,Cisco {Wireless,no_IaC_term;no_quality_term
rehan_generative_2025,Generative {AI,no_IaC_term;no_quality_term
gu_-esa_2024-2,A-{ESA,no_IaC_term;no_quality_term
madhyastha_neuroimaging_2024,Neuroimaging {Workflows,no_IaC_term;no_quality_term
christudas_microservices_2024,Microservices in {AWS,no_IaC_term;no_quality_term
mishra_providing_2025,Providing {Practical,no_IaC_term;no_quality_term
hilpert_developing_2023,Developing a {Fully,no_IaC_term;no_quality_term
pando_devops_2024,{DevOps,no_IaC_term;no_quality_term
feil_three_2024,The {Three,no_IaC_term;no_quality_term
lesteve_managing_2023,Managing {Agile,no_IaC_term;no_quality_term
wu_characterizing_2024,Characterizing and classifying developer forum posts with their intentions,no_IaC_term;no_quality_term
beilharz_continuously_2022,Continuously {Testing,no_IaC_term
smart_strategy_2022,Strategy,no_IaC_term;no_quality_term
mustafa_aws_2023,{AWS,no_IaC_term;no_quality_term
cochran_securing_2024,Securing the {Cloud,no_IaC_term;no_quality_term
kumara_quality_2021,Quality {Assurance,no_IaC_term
zhang_cbdc_2024,{CBDC,no_IaC_term;no_quality_term
khushalani_cicd_2022,{CI,no_IaC_term;no_quality_term
gavandi_observability_2025,"Observability, {Cost",no_IaC_term;no_quality_term
sutherland_cloud_2024,‘{The,no_IaC_term;no_quality_term
lumpatki_implementing_2024,Implementing “{DevSecOps,no_IaC_term;no_quality_term
mishra_onnyx_2025,{ONNYX,no_IaC_term;no_quality_term
beloki_automation_2022,Automation to {Enable,no_IaC_term;no_quality_term
friedrich_general_2024,General {Discussion,no_IaC_term;no_quality_term
vahdati_model-driven_2025,Model-{Driven,no_IaC_term;no_quality_term
lloyd_other_2022,Other {Key,no_IaC_term;no_quality_term
rael_deploying_2025,Deploying {Your,no_IaC_term;no_quality_term
rahman_contemporary_2025,Contemporary {Azure,no_IaC_term;no_quality_term
baruah_introduction_2024,Introduction: {Why,no_IaC_term;no_quality_term
baars_dataops_2025,{DataOps,no_IaC_term;no_quality_term
kozhevin_choosing_2024,Choosing the {Right,no_IaC_term;no_quality_term
rael_wrapping_2025,Wrapping {Up,no_IaC_term;no_quality_term
zalila_modmacao_2022,{MoDMaCAO,no_IaC_term;no_quality_term
aljawawdeh_toward_2023,Toward {Serverless,no_IaC_term;no_quality_term
balon_cybercompetitions_2023,Cybercompetitions: {A,no_IaC_term;no_quality_term
ul_haq_extending_2024,Extending a {Low,no_IaC_term;no_quality_term
murthy_cloud_2024,Cloud {Framework,no_IaC_term;no_quality_term
ahmed_open-source_2024,Open-{Source,no_IaC_term;no_quality_term
feil_assessmentdetermine_2024,Assessment—{Determine,no_IaC_term;no_quality_term
feil_stage_2024-1,Stage 1—{Cloud,no_IaC_term;no_quality_term
edwards_cloud_2024,Cloud {Security,no_IaC_term
prakash_using_2024,Using {AI,no_IaC_term;no_quality_term
hamsavath_automated_2025,Automated {CI,no_IaC_term;no_quality_term
patil_building_2025,Building and {Deploying,no_IaC_term;no_quality_term
sunil_manohar_reddy_study_2024,A {Study,no_IaC_term;no_quality_term
kaur_drap-cpu_2024,{DRAP,no_IaC_term;no_quality_term
colom_development_2023,Development {Efforts,no_IaC_term;no_quality_term
patel_managing_2025,Managing {Multicloud,no_IaC_term;no_quality_term
shvaika_distributed_2025,A distributed architecture for {MQTT,no_IaC_term;no_quality_term
lesteve_adopting_2023,Adopting a {Cloud,no_IaC_term;no_quality_term
piedade_visual_2022,Visual notations in container orchestrations: an empirical study with {Docker,no_quality_term
van_merode_pitfalls_2023,The {Pitfalls,no_IaC_term;no_quality_term
rahman_future_2025,Future {Directions,no_IaC_term;no_quality_term
diaz-sanchez_hybrid_2022,A {Hybrid,no_IaC_term;no_quality_term
vadlamani_postgresql_2024,{PostgreSQL,no_IaC_term;no_quality_term
ghane_observability_2025,Observability {Engineering,no_IaC_term;no_quality_term
lad_introduction_2022,Introduction: {Dimensions,no_IaC_term;no_quality_term
rendon_building_2022,Building {Your,no_IaC_term;no_quality_term
sharma_development_2024,Development and {Evaluation,no_IaC_term;no_quality_term
sendas_mlops_2024,{MLOps,no_IaC_term;no_quality_term
van_merode_pipeline_2023,Pipeline {Design,no_IaC_term;no_quality_term
wang_getting_2024,Getting {Started,no_IaC_term;no_quality_term
rahman_exercise_2021,Exercise {Perceptions,no_IaC_term;no_quality_term
rael_introducing_2025,Introducing .{NET,no_IaC_term;no_quality_term
shvedenko_analyzing_2024,Analyzing {Toolkits,no_IaC_term
grunewald_cloud_2022,Cloud {Native,no_IaC_term;no_quality_term
paul_ui_2023,{UI,no_IaC_term;no_quality_term
kanumuri_cloud_2024,Cloud {Cost,no_IaC_term;no_quality_term
zaeske_background_2022,Background,no_IaC_term;no_quality_term
prakash_cloud_2025,Cloud {DevOps,no_IaC_term;no_quality_term
huang_securing_2025,Securing {Multi,no_IaC_term;no_quality_term
goniwada_microservices_2021,Microservices {Architecture,no_IaC_term;no_quality_term
qiu_virtual_2024,Virtual monitoring method for computer network security in earth observation communication using multi ant colony random walk classification algorithm,no_IaC_term
wendt_team_2025,The {Team,no_IaC_term;no_quality_term
das_codescribe_2023,{CoDescribe,no_IaC_term;no_quality_term
mito_feature-based_2023,Feature-{Based,no_IaC_term;no_quality_term
singh_review_2025,A {Review,no_IaC_term;no_quality_term
rahman_enhanced_2025,Enhanced {Security,no_IaC_term
berton_ansible_2023-2,Ansible {Language,no_quality_term
salecha_introduction_2022,Introduction to {Terraform,no_quality_term
goniwada_designing_2021,Designing for “-ilities”,no_IaC_term;no_quality_term
sorvisto_introducing_2023,Introducing {MLOps,no_IaC_term;no_quality_term
rall_os4ml_2024,{OS4ML,no_IaC_term;no_quality_term
pianini_smart_2024,Smart {Collective,no_IaC_term;no_quality_term
feil_stage_2024-2,Stage 3—{Using,no_IaC_term;no_quality_term
plazotta_data_2024,Data {Architectures,no_IaC_term;no_quality_term
poth_engineering_2025,Engineering of {Sustainability,no_IaC_term;no_quality_term
suhail_framework_2025,A {Framework,no_IaC_term;no_quality_term
josyula_emerging_2025,Emerging {Trends,no_IaC_term;no_quality_term
camargo_deploying_2023,Deploying {Deep,no_IaC_term;no_quality_term
bhatnagar_overview_2025,Overview of {Microservices,no_IaC_term;no_quality_term
provenzano_circular_2025,Circular {Economy,no_IaC_term;no_quality_term
hoeppner_sre_2025,{SRE,no_IaC_term;no_quality_term
rupani_ai_2025,{AI,no_IaC_term;no_quality_term
rahman_implementing_2025,Implementing {Zero,no_IaC_term;no_quality_term
sendas_mlops_2024-1,{MLOps,no_IaC_term;no_quality_term
faubel_mlops_2023,{MLOps,no_IaC_term;no_quality_term
josyula_deploying_2025,Deploying {Istio,no_IaC_term;no_quality_term
hoeppner_influence_2025,Influence of {AI,no_IaC_term;no_quality_term
udayakumar_design_2023,Design and {Deploy,no_IaC_term;no_quality_term
barac_deploying_2023-1,Deploying {Azure,no_IaC_term;no_quality_term
ferreira_infragenie_2025,Infragenie: {Living,no_IaC_term;no_quality_term
kuppam_organization_2024,Organization {Structure,no_IaC_term;no_quality_term
belouaddane_microservice_2024,Microservice {Architecture,no_IaC_term;no_quality_term
lloyd_cloud-native_2022,Cloud-{Native,no_IaC_term;no_quality_term
branco_cloud-native_2024,Cloud-{Native,no_IaC_term;no_quality_term
mustafa_devops_2023,{DevOps,no_IaC_term;no_quality_term
scott_understanding_2023,Understanding the {Container,no_quality_term
chatterjee_security_2020,Security in {DevOps,no_IaC_term
hacioglu_observability_2024,Observability and {Learnability,no_IaC_term;no_quality_term
lloyd_additional_2022,Additional {Workload,no_IaC_term;no_quality_term
chowdhury_toward_2025,Toward {Intelligent,no_IaC_term;no_quality_term
matter_scaling_2025,Scaling {Web,no_IaC_term;no_quality_term
pandya_production_2022,Production {Complexity,no_IaC_term;no_quality_term
bhatia_life-cycle_2023,Life-{Cycle,no_IaC_term;no_quality_term
sorvisto_infrastructure_2023,Infrastructure for {MLOps,no_IaC_term;no_quality_term
udayakumar_managing_2022,Managing and {Securing,no_IaC_term;no_quality_term
beuran_cyber_2025,Cyber {Ranges,no_IaC_term;no_quality_term
gorronogoitia_sodalite_2022,The {SODALITE,no_IaC_term;no_quality_term
bauer_artificial_2022,Artificial {Intelligence,no_IaC_term;no_quality_term
ozkan_refactoring_2023,Refactoring with domain-driven design in an industrial context: {An,no_IaC_term;no_quality_term
srivastava_customer_2025,Customer {Case,no_IaC_term;no_quality_term
copei_industrial_2025,Industrial {Views,no_IaC_term;no_quality_term
kapetanidou_cognitive_2025,Cognitive {Computing,no_IaC_term;no_quality_term
lyu_going_2023,Going {Serverless,no_IaC_term;no_quality_term
sagar_cloud_2022,Cloud: {On,no_IaC_term;no_quality_term
huang_ai_2025,{AI,no_IaC_term;no_quality_term
demchenko_data_2024,Data {Science,no_IaC_term;no_quality_term
rumbelow_infrastructure_2023,Infrastructure,no_IaC_term;no_quality_term
penberthy_moving_2022,Moving to {Virtual,no_IaC_term;no_quality_term
lates_cyber_2023,Cyber {Range,no_IaC_term;no_quality_term
buchanan_gitops_2021,{GitOps,no_IaC_term;no_quality_term
gupta_databricks_2024,Databricks {Platform,no_IaC_term;no_quality_term
xu_hypertasking_2025,Hypertasking: {From,no_IaC_term;no_quality_term
ahmadpanah_fleximigrate_2025,{FlexiMigrate,no_IaC_term;no_quality_term
krishna_kaiser_teams_2023,Teams and {Structures,no_IaC_term;no_quality_term
ifrah_install_2024,Install {Tools,no_IaC_term;no_quality_term
stocker_ict_2022,An {ICT,no_IaC_term;no_quality_term
hitchcock_estate_2022,Estate {Management,no_IaC_term;no_quality_term
mishra_case_2024,Case {Studies,no_IaC_term;no_quality_term
goniwada_datafication_2023,Datafication {Engineering,no_IaC_term;no_quality_term
cherinka_impact_2021,The {Impact,no_IaC_term;no_quality_term
nica_cmk_2024,{CMK,no_IaC_term;no_quality_term
hitchcock_estate_2022-1,Estate {Management,no_IaC_term;no_quality_term
udayakumar_manage_2022,Manage and {Secure,no_IaC_term;no_quality_term
penberthy_additional_2022,Additional {Tools,no_IaC_term;no_quality_term
s_working_2024,Working with {Development,no_IaC_term;no_quality_term
udayakumar_get_2023,Get {Started,no_IaC_term;no_quality_term
m_r_pod_2025,Pod {Scheduling,no_IaC_term;no_quality_term
olsson_strategic_2024,Strategic {Digital,no_IaC_term;no_quality_term
choi_introduction_2024,Introduction to {Python,no_IaC_term;no_quality_term
krishna_kaiser_integration_2023,Integration: {Alignment,no_IaC_term;no_quality_term
berton_ansible_2022,Ansible for {Beginners,no_quality_term
zaeske_introduction_2022,Introduction,no_IaC_term;no_quality_term
barac_deploying_2023-2,Deploying a {Highly,no_IaC_term;no_quality_term
calcaterra_policy-based_2023,Policy-{Based,no_IaC_term;no_quality_term
grunewald_scalable_2022,Scalable {Discovery,no_IaC_term;no_quality_term
goniwada_cloud_2021,Cloud {Native,no_IaC_term;no_quality_term
tonello_containerizing_2022,Containerizing and {Automating,no_quality_term
schenk_enterprise_2025,Enterprise {Architecture,no_IaC_term;no_quality_term
kanumuri_cloud_2024-1,Cloud {Cost,no_IaC_term;no_quality_term
bors_getting_2022,Getting {Started,no_IaC_term;no_quality_term
modi_terraform_2021-1,Terraform {Modules,no_quality_term
sargiotis_future_2024,Future {Trends,no_IaC_term;no_quality_term
